 182 cd06159
 182 cd03884
 182 cd03367
 182 cd00991
 182 COG3371
 182 COG2301
 182 COG0049
 180 cd02973
 180 COG1541
 180 COG0749
 177 COG0370
 175 cd09634
 175 COG0028
 174 pfam05942
 174 cd04181
 173 COG3277
 173 COG0122
 172 cd09211
 170 pfam03029
 170 COG4089
 170 COG2119
 169 cd09881
 169 COG2080
 168 pfam08502
 168 pfam02614
 168 pfam02254
 168 pfam01670
 168 pfam00639
 168 cd08659
 168 cd06089
 168 cd02911
 168 cd02525
 168 cd02070
 168 cd01428
 168 COG5279
 168 COG4885
 168 COG4641
 168 COG4080
 168 COG3357
 168 COG1827
 168 COG1707
 168 COG1646
 168 COG1578
 168 COG1471
 168 COG1446
 168 COG1374
 168 COG0611
 168 COG0525
 168 COG0226
 168 COG0212
 168 COG0094
 168 COG0093
 168 COG0045
 167 pfam02697
 167 cd00730
 166 COG1032
 165 pfam00440
 164 cd03769
 164 cd03087
 164 COG2522
 163 COG0684
 163 COG0358
 162 cd04762
 161 pfam00753
 161 cd03501
 161 COG2236
 161 COG1661
 161 COG1053
 159 pfam09394
 159 cd08011
 159 COG3465
 158 cd03016
 158 cd00577
 158 COG4651
 158 COG1914
 157 cd04650
 156 pfam13302
 156 pfam02933
 156 cd05966
 156 COG1548
 156 COG0043
 155 pfam14076
 155 COG1581
 155 COG1241
 154 cd00754
 154 COG2872
 154 COG1095
 154 COG0661
 154 COG0460
 153 cd10276
 153 cd05233
 153 COG5276
 153 COG4738
 153 COG2198
 153 COG2013
 151 pfam08713
 151 COG0864
 150 COG1208
 150 COG0040
 149 pfam14685
 149 pfam14684
 149 pfam08543
 149 cd07562
 149 COG4946
 149 COG0674
 149 COG0641
 148 COG1033
 148 COG0427
 147 cd03528
 147 cd00840
 147 COG1600
 147 COG1571
 147 COG0436
 146 cd09128
 146 cd09127
 146 COG3385
 146 COG1234
 145 cd04659
 145 cd00371
 145 COG3276
 145 COG1602
 145 COG1009
 145 COG0495
 144 pfam06848
 144 COG4185
 144 COG3174
 144 COG1014
 143 pfam00708
 143 cd01081
 143 COG4854
 142 pfam14947
 142 pfam12072
 142 COG1113
 142 COG0025
 141 COG0090
 140 pfam13248
 140 pfam01914
 140 cd11714
 140 cd02892
 140 cd02889
 140 COG2178
 140 COG1453
 140 COG0143
 138 cd05358
 138 COG1492
 137 pfam07669
 137 pfam05448
 137 COG4934
 137 COG1476
 136 pfam05014
 136 COG1209
 135 pfam04172
 135 COG1380
 135 COG0168
 135 COG0087
 134 cd09692
 133 pfam06941
 133 cd06158
 132 COG1262
 131 pfam02680
 131 COG2453
 131 COG1622
 131 COG1104
 130 COG0022
 129 cd00995
 129 COG1319
 129 COG0088
 128 cd05936
 128 COG1196
 127 pfam12773
 127 cd05562
 127 COG5271
 126 pfam12950
 126 pfam12895
 126 pfam11563
 126 pfam06224
 126 pfam05167
 126 pfam04981
 126 pfam04029
 126 pfam03737
 126 pfam02632
 126 pfam01784
 126 pfam01592
 126 pfam00406
 126 cd10031
 126 cd09873
 126 cd04230
 126 cd03219
 126 cd02975
 126 cd01571
 126 COG5479
 126 COG5431
 126 COG5014
 126 COG2945
 126 COG2409
 126 COG2342
 126 COG2237
 126 COG1832
 126 COG1821
 126 COG1777
 126 COG1736
 126 COG1672
 126 COG1634
 126 COG1150
 126 COG1126
 126 COG0520
 126 COG0479
 126 COG0426
 126 COG0185
 126 COG0089
 126 COG0080
 125 pfam12367
 125 pfam05107
 125 cd03375
 125 COG3643
 125 COG2896
 125 COG1786
 125 COG0579
 124 pfam13240
 124 pfam12161
 124 COG4090
 123 pfam06739
 123 cd00317
 123 COG2440
 122 pfam04307
 122 cd02194
 122 COG1701
 122 COG1456
 122 COG0444
 122 COG0151
 121 cd07432
 121 COG1625
 120 pfam05691
 120 pfam00950
 120 cd12175
 120 cd06660
 120 cd05229
 120 cd03235
 120 cd02025
 120 COG2002
 120 COG1829
 120 COG1180
 119 pfam01930
 119 COG0101
 118 pfam13192
 118 cd05234
 118 COG2897
 118 COG1782
 118 COG1395
 117 cd06423
 117 COG3420
 117 COG2888
 116 pfam00561
 116 cd07091
 115 pfam04982
 115 pfam03681
 115 pfam00924
 115 cd01988
 115 cd00829
 115 COG1047
 115 COG0004
 114 cd13963
 114 COG4870
 114 COG2931
 113 pfam02589
 113 cd08264
 113 cd05303
 113 cd00429
 113 COG3640
 113 COG1917
 113 COG1031
 112 pfam14512
 112 pfam13230
 112 pfam13196
 112 pfam09484
 112 pfam08889
 112 pfam06675
 112 pfam06250
 112 pfam04443
 112 pfam01927
 112 cd13946
 112 cd13831
 112 cd08259
 112 cd07392
 112 cd07080
 112 cd05922
 112 cd04584
 112 cd04251
 112 cd03360
 112 cd02883
 112 cd02145
 112 cd01298
 112 cd00502
 112 COG5615
 112 COG4010
 112 COG4009
 112 COG3448
 112 COG3255
 112 COG3189
 112 COG2423
 112 COG2092
 112 COG2074
 112 COG2048
 112 COG1878
 112 COG1831
 112 COG1439
 112 COG1215
 112 COG0565
 112 COG0462
 112 COG0075
 112 COG0002
 111 cd09879
 111 cd01991
 111 cd01976
 110 COG3432
 110 COG2038
 110 COG1758
 110 COG0529
 110 COG0145
 110 COG0124
 109 COG0079
 109 COG0006
 108 pfam11611
 108 pfam07929
 108 cd03358
 108 COG2890
 107 pfam09947
 107 pfam00892
 107 cd09867
 107 cd02142
 107 COG3247
 107 COG2812
 107 COG1384
 107 COG1035
 106 COG3874
 106 COG1848
 105 pfam06508
 105 pfam04079
 105 pfam00762
 105 pfam00535
 105 cd01398
 105 cd00717
 105 COG5257
 105 COG2093
 105 COG1724
 105 COG1341
 105 COG0720
 105 COG0677
 105 COG0005
 104 COG1807
 104 COG0121
 103 pfam09959
 102 COG2159
 102 COG1635
 102 COG0051
 101 pfam11167
 101 cd02888
 101 cd02192
 101 COG4584
 101 COG2810
 100 pfam01954
 100 pfam01810
 100 cd02526
 100 COG5016
 100 COG0508
  99 COG1853
  99 COG1669
  98 pfam03477
  98 cd05531
  98 COG1964
  98 COG0060
  97 COG1614
  97 COG1356
  96 pfam12840
  96 cd01174
  96 COG4190
  95 pfam13809
  95 cd00333
  94 cd00448
  94 COG2026
  94 COG1216
  93 COG1411
  92 cd09992
  92 COG2274
  92 COG1891
  91 cd08662
  91 COG2208
  91 COG0247
  90 pfam14169
  90 pfam07752
  90 pfam04412
  90 pfam04191
  90 cd04800
  90 cd00203
  90 COG1545
  90 COG1059
  90 COG0823
  89 cd07391
  89 cd06453
  89 COG2249
  89 COG0813
  89 COG0595
  88 COG5608
  88 COG4802
  88 COG0522
  88 COG0078
  87 COG3366
  87 COG0432
  86 pfam09888
  86 cd02522
  86 COG1078
  86 COG0452
  85 pfam13730
  85 pfam13646
  85 pfam03186
  85 pfam02679
  85 pfam01676
  85 pfam00317
  85 COG5491
  85 COG2333
  85 COG1765
  85 COG1577
  85 COG1230
  85 COG1153
  85 COG1029
  85 COG0673
  85 COG0225
  84 pfam09376
  84 pfam08909
  84 pfam08745
  84 pfam04020
  84 pfam01266
  84 cd07894
  84 cd04624
  84 cd04301
  84 cd04040
  84 cd02139
  84 COG5256
  84 COG3390
  84 COG2386
  84 COG2245
  84 COG1044
  84 COG0824
  84 COG0755
  84 COG0468
  84 COG0154
  83 cd00081
  83 COG1167
  83 COG0367
  82 cd00569
  82 COG5340
  82 COG3850
  81 cd09861
  81 cd03116
  81 COG5266
  81 COG2405
  81 COG1357
  80 pfam11750
  80 pfam07876
  80 COG0628
  79 pfam12728
  79 COG0505
  79 COG0480
  78 COG3401
  78 COG1656
  78 COG0717
  78 COG0187
  77 pfam09853
  77 COG4591
  77 COG1859
  77 COG1239
  76 pfam03683
  76 cd02109
  76 cd01142
  76 COG0504
  75 pfam00589
  75 pfam00069
  75 cd09637
  75 cd08556
  75 cd07100
  75 cd01557
  75 COG4783
  75 COG2217
  75 COG1719
  75 COG1617
  75 COG1413
  75 COG1008
  75 COG0656
  75 COG0557
  75 COG0514
  75 COG0345
  75 COG0099
  74 cd07477
  73 cd03255
  73 cd01563
  73 COG1503
  72 pfam13385
  72 pfam10432
  72 pfam07883
  72 pfam01964
  72 pfam00881
  72 cd05017
  72 COG0608
  72 COG0581
  71 pfam07854
  71 cd01742
  71 cd00887
  71 cd00085
  71 COG2512
  71 COG2102
  71 COG2096
  71 COG1926
  71 COG1552
  71 COG0838
  71 COG0248
  71 COG0047
  70 pfam14204
  70 pfam13656
  70 pfam13514
  70 pfam12942
  70 pfam12654
  70 pfam11867
  70 pfam11213
  70 pfam09913
  70 pfam09892
  70 pfam09455
  70 pfam08242
  70 pfam08069
  70 pfam07318
  70 pfam04126
  70 pfam04019
  70 pfam02675
  70 pfam01982
  70 pfam01835
  70 pfam01694
  70 pfam01428
  70 pfam00731
  70 pfam00583
  70 pfam00582
  70 pfam00543
  70 cd11641
  70 cd10511
  70 cd08509
  70 cd07209
  70 cd06849
  70 cd06557
  70 cd05246
  70 cd04612
  70 cd04184
  70 cd03467
  70 cd03317
  70 cd03214
  70 cd02866
